,Species,Brain,Days,Region,Period,time,PAM Cluster
HSB123.MFC,Human,HSB123,13780,MFC,13,13,3
HSB123.OFC,Human,HSB123,13780,OFC,13,13,3
HSB123.S1C,Human,HSB123,13780,S1C,13,13,3
HSB123.STC,Human,HSB123,13780,STC,13,13,3
HSB123.STR,Human,HSB123,13780,STR,13,13,3
HSB123.V1C,Human,HSB123,13780,V1C,13,13,3
HSB123.VFC,Human,HSB123,13780,VFC,13,13,3
HSB135.A1C,Human,HSB135,14876,A1C,13,13,3
HSB135.CBC,Human,HSB135,14876,CBC,13,13,3
HSB135.DFC,Human,HSB135,14876,DFC,13,13,3
HSB135.IPC,Human,HSB135,14876,IPC,13,13,3
HSB135.ITC,Human,HSB135,14876,ITC,13,13,3
HSB135.M1C,Human,HSB135,14876,M1C,13,13,3
HSB135.OFC,Human,HSB135,14876,OFC,13,13,3
HSB135.S1C,Human,HSB135,14876,S1C,13,13,3
HSB135.STC,Human,HSB135,14876,STC,13,13,3
HSB135.STR,Human,HSB135,14876,STR,13,13,3
HSB135.V1C,Human,HSB135,14876,V1C,13,13,3
HSB135.VFC,Human,HSB135,14876,VFC,13,13,3
